step,discriminator_loss,generator_loss,gradient_penalty,d_score_fake,d_score_real,d_score_val
150.000000,1.332687,0.535342,0.0001684426388237,0.651047,1.917730,1.863447
350.000000,1.615719,2.458797,0.0007501250947825,-0.137855,1.817557,1.677123
550.000000,0.863408,4.687951,0.0011695314897224,-3.781115,0.307112,0.290564
750.000000,0.703748,3.456526,0.0037124566733837,-2.013351,2.165991,2.167186
950.000000,0.977218,2.376083,0.0023512241896241,-1.701455,1.138951,1.572830
1150.000000,0.871525,1.335245,0.0021237365435808,-0.786708,2.085230,1.886484
1350.000000,1.308454,2.417169,0.0024634471628814,-1.964290,0.307347,0.120904
1550.000000,1.169031,1.725493,0.0027516006957739,-1.040628,0.835614,0.422549
1750.000000,1.166754,2.060186,0.0024128493387252,-1.195316,1.262603,0.993383
1950.000000,1.435147,1.346619,0.0021863782312721,-0.358686,1.312642,1.055634
2150.000000,1.434615,0.960221,0.0028018911834806,0.240260,2.025617,1.648740
2350.000000,1.254008,1.410905,0.0029849987477064,-1.119055,0.932690,0.296924
2550.000000,1.141423,1.225748,0.0034243345726281,-0.307894,1.682480,1.105863
2750.000000,1.113715,1.901901,0.0039295628666877,-0.856827,1.199575,0.575339
2950.000000,1.047197,1.709653,0.0043509914539754,-0.428240,1.933563,0.883471
3150.000000,1.166995,1.766958,0.0043612192384898,-1.386947,1.782818,0.592773
3350.000000,1.090611,2.343894,0.0054003517143428,-1.024553,1.937537,0.700021
3550.000000,1.507953,1.397080,0.0046123303472995,-0.801011,2.420017,0.507440
3750.000000,1.149626,2.671481,0.006741611752659,-2.096699,1.836987,0.382867
3950.000000,1.290603,3.061222,0.0070316777564585,-2.830796,0.937563,-0.838006
4150.000000,1.065564,3.263204,0.0062879212200641,-1.887574,1.683957,-0.276243
4350.000000,1.048263,2.632539,0.0063501484692096,-2.355901,2.459764,0.178381
4550.000000,1.529673,4.200289,0.0118589168414473,-2.991774,1.213982,-1.360561
4750.000000,1.097932,2.389045,0.0074953599832952,-2.254840,2.390916,0.106226
4950.000000,1.185248,4.695199,0.0077787698246538,-4.386224,1.854769,-1.531354
5150.000000,1.125222,3.188404,0.0077846469357609,-2.675792,2.721920,-0.674159
5350.000000,1.327955,2.751108,0.0097549650818109,-2.011737,3.259597,-0.265718
5550.000000,0.973231,5.489675,0.0085687646642327,-4.892089,0.842620,-2.682657
5750.000000,0.956999,4.734312,0.0091016320511698,-3.333381,1.369241,-2.163786
5950.000000,0.981566,4.811305,0.008595373481512,-3.730010,2.072063,-2.073424
6150.000000,0.941764,3.450184,0.0098184598609805,-2.600933,3.510553,-0.847463
6350.000000,1.059399,3.778412,0.0079567907378077,-3.300042,1.935867,-2.133590
6550.000000,0.771893,4.256066,0.0091890338808298,-4.385289,2.359847,-2.226636
6750.000000,0.645372,3.613474,0.0093525694683194,-3.157045,2.682144,-2.033383
6950.000000,0.962508,5.960885,0.0110042402520775,-4.497995,1.503266,-2.890099
7150.000000,0.822071,3.435281,0.009447201155126,-3.782180,2.678259,-2.584042
7350.000000,0.800502,4.139348,0.0084744691848754,-3.855756,2.698508,-2.788339
7550.000000,0.793530,3.520725,0.0088628390803933,-3.494567,2.756571,-2.396020
7750.000000,0.643760,4.542118,0.0097774434834718,-3.420615,2.859871,-2.739038
7950.000000,0.648308,4.158699,0.0096340253949165,-3.837018,2.610790,-3.249782
8150.000000,0.588522,4.637038,0.0085618374869227,-4.087375,3.498072,-3.121212
8350.000000,0.658407,4.787131,0.0091266753152012,-4.210105,3.386959,-2.974511
8550.000000,0.797556,3.693715,0.0078840348869562,-3.701756,3.289202,-3.027897
8750.000000,0.892630,4.102898,0.0109449289739131,-3.449907,3.732381,-3.032621
8950.000000,0.625247,4.555748,0.0081624425947666,-3.607756,3.435446,-3.255763
9150.000000,0.507561,4.352376,0.0080375438556075,-4.350376,3.379062,-3.377005
9350.000000,0.546250,4.698650,0.008198233321309,-4.075102,3.563554,-3.577679
9550.000000,0.501935,4.761482,0.0114389667287468,-3.791157,3.267076,-3.030198
9750.000000,0.605308,5.101305,0.009170246310532,-4.120092,2.890510,-4.035310
9950.000000,0.681183,9.313726,0.0084015550091862,-6.827289,1.164849,-6.113350
10150.000000,0.693306,5.440233,0.0107363490387797,-4.366206,3.522275,-4.149933
10350.000000,0.688158,4.571704,0.0092998845502734,-4.308302,3.534835,-3.650893
10550.000000,0.519184,8.703145,0.0165694560855627,-2.029461,2.058507,-2.716783
10750.000000,0.421126,5.604958,0.0090665724128484,-5.078919,3.699874,-3.395425
10950.000000,0.386933,5.943365,0.0084346681833267,-4.071391,3.298832,-3.011033
